Time,Player Number,Area,Result of Possession,Passed Towards,Opp. Passes,Defensive,Foul Committed,Foul Drawn,Yellow,Red,Offsides,Type of Chance,Distance of Shot,Result of Shot,Number of Passes,Type of Chance2,Distance of Shot3,Result of Shot4,Number of Passes5,Who Took the Chance,Last Pass,2nd to Last,3rd to Last,4th to Last,Player #1,Player #2,Player #3,Player #4,Player #5,Player #6,Player #7,Player #8,Player #9,Player #10,Player #11,Posistion 1,Posistion 2,Posistion 3,Posistion 4,Posistion 5,Posistion 6,Posistion 7,Posistion 8,Posistion 9,Posistion 10,Posistion 11,Posistion 12
0-15,11,CM,1,18,,,,,,,,,,,,,,,,,,,,,30,7,14,19,4,16,2,18,17,24,11,GK,LB,CB,CB,RB,DCM,DCM,CAM,LM,RM,F,1
0-15,18,CM,1,2,,,,,,,,,,,,,,,,,,,,,30,7,14,19,4,16,2,18,17,24,11,GK,LB,CB,CB,RB,DCM,DCM,CAM,LM,RM,F,1
0-15,2,LA,0,17,,,,,,,,,,,,,,,,,,,,,30,7,14,19,4,16,2,18,17,24,11,GK,LB,CB,CB,RB,DCM,DCM,CAM,LM,RM,F,2
0-15,2,CM,,,2,Possession Added,,,,,,,,,,,,,,,,,,,30,7,14,19,4,16,2,18,17,24,11,GK,LB,CB,CB,RB,DCM,DCM,CAM,LM,RM,F,
0-15,2,LM,0,16,,,,,,,,,,,,,,,,,,,,,30,7,14,19,4,16,2,18,17,24,11,GK,LB,CB,CB,RB,DCM,DCM,CAM,LM,RM,F,2
0-15,19,CM,,,6,Possession Added,,,,,,,,,,,,,,,,,,,30,7,14,19,4,16,2,18,17,24,11,GK,LB,CB,CB,RB,DCM,DCM,CAM,LM,RM,F,
0-15,19,CM,1,24,,,,,,,,,,,,,,,,,,,,,30,7,14,19,4,16,2,18,17,24,11,GK,LB,CB,CB,RB,DCM,DCM,CAM,LM,RM,F,2
0-15,24,RA,1,11,,,,,,,,,,,,,,,,,,,,,30,7,14,19,4,16,2,18,17,24,11,GK,LB,CB,CB,RB,DCM,DCM,CAM,LM,RM,F,2
0-15,11,RA,0,,,,,,,,,,,,,,,,,,,,,,30,7,14,19,4,16,2,18,17,24,11,GK,LB,CB,CB,RB,DCM,DCM,CAM,LM,RM,F,4
0-15,18,CA,1,4,,,,,,,,,,,,,,,,,,,,,30,7,14,19,4,16,2,18,17,24,11,GK,LB,CB,CB,RB,DCM,DCM,CAM,LM,RM,F,1
0-15,4,CA,,,,,,,,,,,,,,Set Piece,10,SOG,1,4,18,,,,30,7,14,19,4,16,2,18,17,24,11,GK,LB,CB,CB,RB,DCM,DCM,CAM,LM,RM,F,
0-15,18,CA,1,4,,,,,,,,,,,,,,,,,,,,,30,7,14,19,4,16,2,18,17,24,11,GK,LB,CB,CB,RB,DCM,DCM,CAM,LM,RM,F,1
0-15,4,CA,,,,,,,,,,,,,,Set Piece,10,Goal,1,4,18,,,,30,7,14,19,4,16,2,18,17,24,11,GK,LB,CB,CB,RB,DCM,DCM,CAM,LM,RM,F,
0-15,,,,,,,,,,,,,,,,,,,,,,,,,30,7,14,19,4,16,2,18,17,24,11,GK,LB,CB,CB,RB,DCM,DCM,CAM,LM,RM,F,
0-15,1,CD,,,11,Possession Added,,,,,,Run of Play,15,SOT,11,,,,,,,,,,30,7,19,14,4,2,16,18,24,17,11,GK,LB,CB,CB,RB,DCM,DCM,CAM,RM,LM,F,
0-15,1,RD,1,19,,,,,,,,,,,,,,,,,,,,,30,7,19,14,4,2,16,18,24,17,11,GK,LB,CB,CB,RB,DCM,DCM,CAM,RM,LM,F,1
