Time,Player Number,Area,Result of Possession,Passed Towards,Opp. Passes,Defensive,Foul Committed,Foul Drawn,Yellow,Red,Offsides,Type of Chance,Distance of Shot,Result of Shot,Number of Passes,Type of Chance2,Distance of Shot3,Result of Shot4,Number of Passes5,Who Took the Chance,Last Pass,2nd to Last,3rd to Last,4th to Last,Player #1,Player #2,Player #3,Player #4,Player #5,Player #6,Player #7,Player #8,Player #9,Player #10,Player #11,Posistion 1,Posistion 2,Posistion 3,Posistion 4,Posistion 5,Posistion 6,Posistion 7,Posistion 8,Posistion 9,Posistion 10,Posistion 11,Posistion 12
0-15,19,LD,1,15,1,Play Disrupted,,,,,,,,,,,,,,,,,,,1,5,19,4,26,20,16,10,15,24,11,GK,LB,CB,CB,RB,DCM,DCM,CM,LM,RM,F,1
0-15,15,LM,1,24,,,,,,,,,,,,,,,,,,,,,1,5,19,4,26,20,16,10,15,24,11,GK,LB,CB,CB,RB,DCM,DCM,CM,LM,RM,F,2
0-15,24,LM,1,11,,,,,,,,,,,,,,,,,,,,,1,5,19,4,26,20,16,10,15,24,11,GK,LB,CB,CB,RB,DCM,DCM,CM,LM,RM,F,1
0-15,11,LM,Possession Lost,,,,,,,,,,,,,,,,,,,,,,1,5,19,4,26,20,16,10,15,24,11,GK,LB,CB,CB,RB,DCM,DCM,CM,LM,RM,F,1
0-15,20,LM,1,24,1,Play Disrupted,,,,,,,,,,,,,,,,,,,1,5,19,4,26,20,16,10,15,24,11,GK,LB,CB,CB,RB,DCM,DCM,CM,LM,RM,F,1
0-15,24,LM,0,11,,,,,,,,,,,,,,,,,,,,,1,5,19,4,26,20,16,10,15,24,11,GK,LB,CB,CB,RB,DCM,DCM,CM,LM,RM,F,1
0-15,16,LM,1,24,,Possession Added,,,,,,,,,,,,,,,,,,,1,5,19,4,26,20,16,10,15,24,11,GK,LB,CB,CB,RB,DCM,DCM,CM,LM,RM,F,2
0-15,24,LM,Possession Lost,,,,,,,,,,,,,,,,,,,,,,1,5,19,4,26,20,16,10,15,24,11,GK,LB,CB,CB,RB,DCM,DCM,CM,LM,RM,F,2
0-15,1,CD,1,19,12,Possession Added,,,,,,,,,,,,,,,,,,,1,5,19,4,26,20,16,10,15,24,11,GK,LB,CB,CB,RB,DCM,DCM,CM,LM,RM,F,1
0-15,19,LD,1,1,,,,,,,,,,,,,,,,,,,,,1,5,19,4,26,20,16,10,15,24,11,GK,LB,CB,CB,RB,DCM,DCM,CM,LM,RM,F,2
0-15,1,CD,1,19,12,Possession Added,,,,,,Set Piece,25,SOG,0,,,,,,,,,,1,5,19,4,26,20,16,10,15,24,11,GK,LB,CB,CB,RB,DCM,DCM,CM,LM,RM,F,1
0-15,19,LD,1,1,,,,,,,,,,,,,,,,,,,,,1,5,19,4,26,20,16,10,15,24,11,GK,LB,CB,CB,RB,DCM,DCM,CM,LM,RM,F,2
0-15,1,CD,1,19,,,,,,,,,,,,,,,,,,,,,1,5,19,4,26,20,16,10,15,24,11,GK,LB,CB,CB,RB,DCM,DCM,CM,LM,RM,F,1
0-15,19,LD,Possession Lost,,,,,,,,,,,,,,,,,,,,,,1,5,19,4,26,20,16,10,15,24,11,GK,LB,CB,CB,RB,DCM,DCM,CM,LM,RM,F,2
0-15,1,CD,1,19,,Possession Added,,,,,,,,,,,,,,,,,,,1,5,19,4,26,20,16,10,15,24,11,GK,LB,CB,CB,RB,DCM,DCM,CM,LM,RM,F,2
0-15,19,LD,0,11,,,,,,,,,,,,,,,,,,,,,1,5,19,4,26,20,16,10,15,24,11,GK,LB,CB,CB,RB,DCM,DCM,CM,LM,RM,F,2
0-15,16,LM,1,19,,Possession Added,,,,,,,,,,,,,,,,,,,1,5,19,4,26,20,16,10,15,24,11,GK,LB,CB,CB,RB,DCM,DCM,CM,LM,RM,F,2
0-15,19,LM,1,4,,,,,,,,,,,,,,,,,,,,,1,5,19,4,26,20,16,10,15,24,11,GK,LB,CB,CB,RB,DCM,DCM,CM,LM,RM,F,2
0-15,4,RM,0,26,,,,,,,,,,,,,,,,,,,,,1,5,19,4,26,20,16,10,15,24,11,GK,LB,CB,CB,RB,DCM,DCM,CM,LM,RM,F,2
0-15,19,LD,1,11,7,Play Disrupted,,,,,,,,,,,,,,,,,,,1,5,19,4,26,20,16,10,15,24,11,GK,LB,CB,CB,RB,DCM,DCM,CM,LM,RM,F,1
0-15,11,LA,1,15,,,,,,,,,,,,,,,,,,,,,1,5,19,4,26,20,16,10,15,24,11,GK,LB,CB,CB,RB,DCM,DCM,CM,LM,RM,F,1
0-15,15,LA,1,11,,,,,,,,,,,,,,,,,,,,,1,5,19,4,26,20,16,10,15,24,11,GK,LB,CB,CB,RB,DCM,DCM,CM,LM,RM,F,2
0-15,11,RA,Possession Lost,,,Play Disrupted,,,,,,,,,,Run of Play,10,SOG,1,11,15,,,,1,5,19,4,26,20,16,10,15,24,11,GK,LB,CB,CB,RB,DCM,DCM,CM,LM,RM,F,1
0-15,16,LM,1,19,2,Possession Added,,,,,opp.,,,,,,,,,,,,,,1,5,19,4,26,20,16,10,15,24,11,GK,LB,CB,CB,RB,DCM,DCM,CM,LM,RM,F,2
0-15,19,LD,1,4,,,,,,,,,,,,,,,,,,,,,1,5,19,4,26,20,16,10,15,24,11,GK,LB,CB,CB,RB,DCM,DCM,CM,LM,RM,F,2
0-15,4,RD,1,19,,,,,,,,,,,,,,,,,,,,,1,5,19,4,26,20,16,10,15,24,11,GK,LB,CB,CB,RB,DCM,DCM,CM,LM,RM,F,1
0-15,19,LD,1,4,,,,,,,,,,,,,,,,,,,,,1,5,19,4,26,20,16,10,15,24,11,GK,LB,CB,CB,RB,DCM,DCM,CM,LM,RM,F,2
0-15,4,RD,1,26,,,,,,,,,,,,,,,,,,,,,1,5,19,4,26,20,16,10,15,24,11,GK,LB,CB,CB,RB,DCM,DCM,CM,LM,RM,F,1
0-15,26,RM,1,11,,,,,,,,,,,,,,,,,,,,,1,5,19,4,26,20,16,10,15,24,11,GK,LB,CB,CB,RB,DCM,DCM,CM,LM,RM,F,1
0-15,11,RM,Possession Lost,,,,,,,,,,,,,,,,,,,,,,1,5,19,4,26,20,16,10,15,24,11,GK,LB,CB,CB,RB,DCM,DCM,CM,LM,RM,F,2
0-15,19,LM,0,24,6,Play Disrupted,,,,,,,,,,,,,,,,,,,1,5,19,4,26,20,16,10,15,24,11,GK,LB,CB,CB,RB,DCM,DCM,CM,LM,RM,F,2
0-15,24,CD,1,11,3,Play Disrupted,,,,,,,,,,,,,,,,,,,1,5,19,4,26,20,16,10,15,24,11,GK,LB,CB,CB,RB,DCM,DCM,CM,LM,RM,F,2
0-15,11,CA,Possession Lost,,,,,,,,,,,,,Run of Play,5,Goal,1,15,10,,,,1,5,19,4,26,20,16,10,15,24,11,GK,LB,CB,CB,RB,DCM,DCM,CM,LM,RM,F,2
0-15,26,RD,0,5,34,Play Disrupted,,,,,,,,,,,,,,,,,,,1,5,19,4,26,20,16,10,15,24,11,GK,LB,CB,CB,RB,DCM,DCM,CM,LM,RM,F,2
0-15,19,CD,Possession Lost,,3,Play Disrupted,,,,,,,,,,,,,,,,,,,1,5,19,4,26,20,16,10,15,24,11,GK,LB,CB,CB,RB,DCM,DCM,CM,LM,RM,F,2
0-15,26,RM,1,24,11,Play Disrupted,,,,,,,,,,,,,,,,,,,1,5,19,4,26,20,16,10,15,24,11,GK,LB,CB,CB,RB,DCM,DCM,CM,LM,RM,F,2
0-15,24,RM,0,11,,,,,,,,,,,,,,,,,,,,,1,5,19,4,26,20,16,10,15,24,11,GK,LB,CB,CB,RB,DCM,DCM,CM,LM,RM,F,1
0-15,2,CM,,,,,Yes,,,,,,,,,,,,,,,,,,1,5,19,4,26,20,16,10,15,24,11,GK,LB,CB,CB,RB,DCM,DCM,CM,LM,RM,F,1
0-15,5,LM,,,,,Yes,,,,,,,,,,,,,,,,,,1,5,19,4,26,20,16,10,15,24,11,GK,LB,CB,CB,RB,DCM,DCM,CM,LM,RM,F,1
0-15,2,LD,1,19,4,Play Disrupted,,,,,,,,,,,,,,,,,,,1,5,19,4,26,20,16,10,15,24,11,GK,LB,CB,CB,RB,DCM,DCM,CM,LM,RM,F,1
0-15,19,LD,1,20,,,,,,,,,,,,,,,,,,,,,1,5,19,4,26,20,16,10,15,24,11,GK,LB,CB,CB,RB,DCM,DCM,CM,LM,RM,F,1
0-15,20,CM,1,5,,,,,,,,,,,,,,,,,,,,,1,5,19,4,26,20,16,10,15,24,11,GK,LB,CB,CB,RB,DCM,DCM,CM,LM,RM,F,1
0-15,5,CM,Possession Lost,,,,,,,,,,,,,,,,,,,,,,1,5,19,4,26,20,16,10,15,24,11,GK,LB,CB,CB,RB,DCM,DCM,CM,LM,RM,F,2
0-15,1,CD,1,2,4,Possession Added,,,,,,Run of Play,10,SOG,1,,,,,,,,,,1,5,19,4,26,20,16,10,15,24,11,GK,LB,CB,CB,RB,DCM,DCM,CM,LM,RM,F,1
0-15,2,CD,0,24,,,,,,,,,,,,,,,,,,,,,1,5,19,4,26,20,16,10,15,24,11,GK,LB,CB,CB,RB,DCM,DCM,CM,LM,RM,F,2
0-15,2,CM,Possession Lost,,,Play Disrupted,,,,,,,,,,,,,,,,,,,1,5,19,4,26,20,16,10,15,24,11,GK,LB,CB,CB,RB,DCM,DCM,CM,LM,RM,F,1
0-15,4,CD,Possession Lost,,5,Play Disrupted,,,,,,,,,,,,,,,,,,,1,5,19,4,26,20,16,10,15,24,11,GK,LB,CB,CB,RB,DCM,DCM,CM,LM,RM,F,2
